,year,tournament,match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak
123,2018,dallas,dc2a736d-5994-51c9-91ca-624e76bbf447,pool-B-4,2017-12-08 21:24:02 UTC,541.0,Search & Destroy,Sainte Marie du Mont,Ground Zero,Study,,6,15,6,9,2.5,16.6,6.7,2,3,0,0,0,12,33,104,31.7,11,447.9,40.7,11,2,0,5,4,2,1,0,4,2,1,1,1,1,0,1,0,0,0,0
124,2018,dallas,dc2a736d-5994-51c9-91ca-624e76bbf447,pool-B-4,2017-12-08 21:24:02 UTC,541.0,Search & Destroy,Sainte Marie du Mont,Team Vitality,Malls,,5,5,9,-4,0.56,5.5,10.0,2,0,0,0,0,3,12,87,13.8,11,381.4,34.7,11,1,0,2,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0
125,2018,dallas,dc2a736d-5994-51c9-91ca-624e76bbf447,pool-B-4,2017-12-08 21:24:02 UTC,541.0,Search & Destroy,Sainte Marie du Mont,Team Vitality,Riskin,,5,6,9,-3,0.67,6.7,10.0,0,0,0,0,0,5,22,96,22.9,11,381.4,34.7,11,0,3,2,6,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
126,2018,dallas,dc2a736d-5994-51c9-91ca-624e76bbf447,pool-B-4,2017-12-08 21:24:02 UTC,541.0,Search & Destroy,Sainte Marie du Mont,Team Vitality,Wailers,,5,8,9,-1,0.89,8.9,10.0,3,0,0,0,0,4,31,120,25.8,11,446.2,40.6,11,3,1,2,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0
127,2018,dallas,dc2a736d-5994-51c9-91ca-624e76bbf447,pool-B-4,2017-12-08 21:24:02 UTC,541.0,Search & Destroy,Sainte Marie du Mont,Team Vitality,Zayrox,,5,10,7,3,1.43,11.1,7.8,3,0,0,0,0,8,29,94,30.9,11,364.8,33.2,11,3,0,4,0,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0
128,2018,dallas,d492b955-50bf-5608-b0c7-731d0ec5cf7c,pool-C-0,2017-12-08 21:35:21 UTC,615.0,Search & Destroy,USS Texas,Red Reserve,Joee,,6,4,7,-3,0.57,3.9,6.8,0,1,0,0,0,2,12,60,20.0,9,273.6,30.4,9,2,2,2,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
129,2018,dallas,d492b955-50bf-5608-b0c7-731d0ec5cf7c,pool-C-0,2017-12-08 21:35:21 UTC,615.0,Search & Destroy,USS Texas,Red Reserve,Joshh,,6,7,5,2,1.4,6.8,4.9,2,4,0,0,0,6,39,189,20.6,9,473.3,52.6,9,0,1,4,2,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0
130,2018,dallas,d492b955-50bf-5608-b0c7-731d0ec5cf7c,pool-C-0,2017-12-08 21:35:21 UTC,615.0,Search & Destroy,USS Texas,Red Reserve,Rated,,6,5,5,0,1.0,4.9,4.9,1,2,0,0,0,4,24,95,25.3,9,464.9,51.7,9,0,1,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
131,2018,dallas,d492b955-50bf-5608-b0c7-731d0ec5cf7c,pool-C-0,2017-12-08 21:35:21 UTC,615.0,Search & Destroy,USS Texas,Red Reserve,Zer0,,6,14,5,9,2.8,13.7,4.9,1,5,0,0,0,13,20,33,60.6,9,555.3,61.7,9,3,0,4,0,0,1,0,3,2,1,1,1,1,0,1,0,0,0,0
132,2018,dallas,d492b955-50bf-5608-b0c7-731d0ec5cf7c,pool-C-0,2017-12-08 21:35:21 UTC,615.0,Search & Destroy,USS Texas,Team Kaliber,Accuracy,,3,6,7,-1,0.86,5.9,6.8,1,1,0,0,0,6,25,85,29.4,9,390.5,43.4,9,2,1,2,3,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0
133,2018,dallas,d492b955-50bf-5608-b0c7-731d0ec5cf7c,pool-C-0,2017-12-08 21:35:21 UTC,615.0,Search & Destroy,USS Texas,Team Kaliber,Chino,,3,10,6,4,1.67,9.8,5.9,2,1,0,0,0,9,34,168,20.2,9,477.2,53.0,9,1,1,3,1,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0
134,2018,dallas,d492b955-50bf-5608-b0c7-731d0ec5cf7c,pool-C-0,2017-12-08 21:35:21 UTC,615.0,Search & Destroy,USS Texas,Team Kaliber,Kenny,,3,3,8,-5,0.38,2.9,7.8,2,0,0,0,0,2,19,153,12.4,9,428.1,47.6,9,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135,2018,dallas,d492b955-50bf-5608-b0c7-731d0ec5cf7c,pool-C-0,2017-12-08 21:35:21 UTC,615.0,Search & Destroy,USS Texas,Team Kaliber,Theory,,3,3,9,-6,0.33,2.9,8.8,2,0,0,0,0,3,11,60,18.3,9,374.6,41.6,9,0,2,0,3,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0
152,2018,dallas,665c809e-aa78-55e2-b79e-7758aae240b0,pool-A-0,2017-12-08 21:54:18 UTC,460.0,Search & Destroy,USS Texas,Enigma6,Bevils,,6,7,4,3,1.75,9.1,5.2,3,0,0,0,0,6,35,142,24.6,8,318.4,39.8,8,1,0,4,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0
153,2018,dallas,665c809e-aa78-55e2-b79e-7758aae240b0,pool-A-0,2017-12-08 21:54:18 UTC,460.0,Search & Destroy,USS Texas,Enigma6,Dashy,,6,9,4,5,2.25,11.7,5.2,0,0,0,0,0,8,24,85,28.2,8,354.7,44.3,8,2,0,4,1,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0
154,2018,dallas,665c809e-aa78-55e2-b79e-7758aae240b0,pool-A-0,2017-12-08 21:54:18 UTC,460.0,Search & Destroy,USS Texas,Enigma6,Decemate,,6,5,3,2,1.67,6.5,3.9,1,0,0,0,0,5,16,109,14.7,8,394.8,49.4,8,1,1,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
155,2018,dallas,665c809e-aa78-55e2-b79e-7758aae240b0,pool-A-0,2017-12-08 21:54:18 UTC,460.0,Search & Destroy,USS Texas,Enigma6,General,,6,3,5,-2,0.6,3.9,6.5,0,0,0,0,0,3,7,27,25.9,8,377.4,47.2,8,0,3,3,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
156,2018,dallas,665c809e-aa78-55e2-b79e-7758aae240b0,pool-A-0,2017-12-08 21:54:18 UTC,460.0,Search & Destroy,USS Texas,OpTic Gaming,Crimsix,,2,7,5,2,1.4,9.1,6.5,0,0,0,0,0,7,37,174,21.3,8,408.1,51.0,8,2,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
157,2018,dallas,665c809e-aa78-55e2-b79e-7758aae240b0,pool-A-0,2017-12-08 21:54:18 UTC,460.0,Search & Destroy,USS Texas,OpTic Gaming,Formal,,2,3,6,-3,0.5,3.9,7.8,1,0,0,0,0,3,16,71,22.5,8,316.6,39.6,8,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
158,2018,dallas,665c809e-aa78-55e2-b79e-7758aae240b0,pool-A-0,2017-12-08 21:54:18 UTC,460.0,Search & Destroy,USS Texas,OpTic Gaming,Karma,,2,2,6,-4,0.33,2.6,7.8,0,0,0,0,0,2,5,14,35.7,8,285.9,35.7,8,2,1,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
159,2018,dallas,665c809e-aa78-55e2-b79e-7758aae240b0,pool-A-0,2017-12-08 21:54:18 UTC,460.0,Search & Destroy,USS Texas,OpTic Gaming,Scump,,2,4,7,-3,0.57,5.2,9.1,1,0,0,0,0,3,22,78,28.2,8,238.2,29.8,8,0,2,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
168,2018,dallas,06d45626-3afe-5189-97a6-e2834721bd6c,pool-C-7,2017-12-08 22:02:43 UTC,471.0,Search & Destroy,London Docks,Mindfreak,Buzzo,,3,3,7,-4,0.43,3.8,8.9,2,0,0,0,0,3,13,45,28.9,9,341.2,37.9,9,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
169,2018,dallas,06d45626-3afe-5189-97a6-e2834721bd6c,pool-C-7,2017-12-08 22:02:43 UTC,471.0,Search & Destroy,London Docks,Mindfreak,Denz,,3,6,8,-2,0.75,7.6,10.2,0,1,0,0,0,4,16,59,27.1,9,312.8,34.8,9,2,2,1,5,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0
170,2018,dallas,06d45626-3afe-5189-97a6-e2834721bd6c,pool-C-7,2017-12-08 22:02:43 UTC,471.0,Search & Destroy,London Docks,Mindfreak,Fighta,,3,5,7,-2,0.71,6.4,8.9,0,0,0,0,0,4,21,63,33.3,9,277.1,30.8,9,2,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
