,year,tournament,match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),hill time (s),hill captures,hill defends,2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak
328,2018,dallas,1aa2feb1-ac1e-5dc5-bdc7-e631d1c887dc,pool-D-2,2017-12-09 17:25:23 UTC,653.0,Hardpoint,London Docks,Evil Geniuses,Aches,,192,23,29,-6,0.79,21.1,26.6,7,1,0,0,0,16,84,386,21.8,30,593.2,19.8,60,0,1,2,0,0,1,0,0,0,0
329,2018,dallas,1aa2feb1-ac1e-5dc5-bdc7-e631d1c887dc,pool-D-2,2017-12-09 17:25:23 UTC,653.0,Hardpoint,London Docks,Evil Geniuses,Apathy,,192,25,28,-3,0.89,23.0,25.7,19,2,0,0,1,17,102,635,16.1,29,595.7,20.5,59,0,3,3,0,0,0,1,0,0,0
330,2018,dallas,1aa2feb1-ac1e-5dc5-bdc7-e631d1c887dc,pool-D-2,2017-12-09 17:25:23 UTC,653.0,Hardpoint,London Docks,Evil Geniuses,Enable,,192,22,22,0,1.0,20.2,20.2,9,0,0,0,0,19,70,346,20.2,23,608.5,26.5,42,0,0,3,0,0,1,1,0,0,0
331,2018,dallas,1aa2feb1-ac1e-5dc5-bdc7-e631d1c887dc,pool-D-2,2017-12-09 17:25:23 UTC,653.0,Hardpoint,London Docks,Evil Geniuses,Nameless,,192,19,29,-10,0.66,17.5,26.6,17,0,0,1,0,12,87,369,23.6,30,594.1,19.8,57,0,0,2,0,0,0,0,0,0,0
332,2018,dallas,1aa2feb1-ac1e-5dc5-bdc7-e631d1c887dc,pool-D-2,2017-12-09 17:25:23 UTC,653.0,Hardpoint,London Docks,Splyce,Bance,,250,27,21,6,1.29,24.8,19.3,9,0,0,0,0,20,94,418,22.5,22,610.0,27.7,118,0,0,5,0,0,1,0,0,0,0
333,2018,dallas,1aa2feb1-ac1e-5dc5-bdc7-e631d1c887dc,pool-D-2,2017-12-09 17:25:23 UTC,653.0,Hardpoint,London Docks,Splyce,Jurd,,250,15,24,-9,0.62,13.8,22.1,10,2,0,0,0,12,83,376,22.1,25,604.0,24.2,121,0,2,0,1,0,1,0,0,0,0
334,2018,dallas,1aa2feb1-ac1e-5dc5-bdc7-e631d1c887dc,pool-D-2,2017-12-09 17:25:23 UTC,653.0,Hardpoint,London Docks,Splyce,MadCat,,250,39,18,21,2.17,35.8,16.5,7,0,0,0,0,33,42,359,11.7,19,616.6,32.5,61,0,2,8,0,0,1,0,0,0,0
335,2018,dallas,1aa2feb1-ac1e-5dc5-bdc7-e631d1c887dc,pool-D-2,2017-12-09 17:25:23 UTC,653.0,Hardpoint,London Docks,Splyce,Tommey,,250,27,26,1,1.04,24.8,23.9,11,0,0,0,0,19,78,314,24.8,27,600.2,22.2,67,0,1,4,1,0,0,1,0,0,0
352,2018,dallas,ec329904-d514-5813-a9dc-e2a724402192,pool-C-5,2017-12-09 17:52:15 UTC,470.0,Hardpoint,London Docks,Mindfreak,Buzzo,,56,15,25,-10,0.6,19.1,31.9,5,0,0,0,0,7,45,185,24.3,26,418.4,16.1,11,0,0,1,0,0,0,0,0,0,0
353,2018,dallas,ec329904-d514-5813-a9dc-e2a724402192,pool-C-5,2017-12-09 17:52:15 UTC,470.0,Hardpoint,London Docks,Mindfreak,Denz,,56,18,23,-5,0.78,23.0,29.4,4,1,0,0,0,10,59,240,24.6,24,423.8,17.7,18,0,1,3,0,0,0,0,0,0,0
354,2018,dallas,ec329904-d514-5813-a9dc-e2a724402192,pool-C-5,2017-12-09 17:52:15 UTC,470.0,Hardpoint,London Docks,Mindfreak,Fighta,,56,22,26,-4,0.85,28.1,33.2,4,3,0,0,0,16,77,336,22.9,27,417.8,15.5,23,0,2,3,1,0,1,0,0,0,0
355,2018,dallas,ec329904-d514-5813-a9dc-e2a724402192,pool-C-5,2017-12-09 17:52:15 UTC,470.0,Hardpoint,London Docks,Mindfreak,Shockz,,56,12,25,-13,0.48,15.3,31.9,7,0,0,0,0,6,42,180,23.3,26,417.1,16.0,5,0,0,1,0,0,0,0,0,0,0
356,2018,dallas,ec329904-d514-5813-a9dc-e2a724402192,pool-C-5,2017-12-09 17:52:15 UTC,470.0,Hardpoint,London Docks,Red Reserve,Joee,,250,22,19,3,1.16,28.1,24.3,6,3,0,0,0,17,94,335,28.1,20,432.0,21.6,81,0,0,4,0,0,0,1,0,1,0
357,2018,dallas,ec329904-d514-5813-a9dc-e2a724402192,pool-C-5,2017-12-09 17:52:15 UTC,470.0,Hardpoint,London Docks,Red Reserve,Joshh,,250,29,22,7,1.32,37.0,28.1,8,2,0,0,0,19,110,407,27.0,23,425.9,18.5,50,0,1,7,0,0,0,1,0,0,0
358,2018,dallas,ec329904-d514-5813-a9dc-e2a724402192,pool-C-5,2017-12-09 17:52:15 UTC,470.0,Hardpoint,London Docks,Red Reserve,Rated,,250,31,10,21,3.1,39.6,12.8,8,0,0,0,0,26,89,289,30.8,11,450.4,41.0,78,0,1,3,2,0,1,0,0,0,2
359,2018,dallas,ec329904-d514-5813-a9dc-e2a724402192,pool-C-5,2017-12-09 17:52:15 UTC,470.0,Hardpoint,London Docks,Red Reserve,Zer0,,250,17,16,1,1.06,21.7,20.4,5,0,0,0,0,11,59,263,22.4,17,438.1,25.8,88,0,2,1,0,0,1,0,0,0,0
376,2018,dallas,aa70573e-c151-5c4c-a6eb-45c559eb880d,pool-A-5,2017-12-09 18:12:09 UTC,718.0,Hardpoint,Ardennes Forest,Enigma6,Bevils,,205,21,32,-11,0.66,17.5,26.7,14,0,0,0,0,13,102,474,21.5,33,652.5,19.8,51,0,1,2,0,0,1,0,0,0,0
377,2018,dallas,aa70573e-c151-5c4c-a6eb-45c559eb880d,pool-A-5,2017-12-09 18:12:09 UTC,718.0,Hardpoint,Ardennes Forest,Enigma6,Dashy,,205,41,26,15,1.58,34.3,21.7,7,2,0,0,0,31,113,432,26.2,27,665.1,24.6,71,0,4,6,2,0,0,1,0,0,1
378,2018,dallas,aa70573e-c151-5c4c-a6eb-45c559eb880d,pool-A-5,2017-12-09 18:12:09 UTC,718.0,Hardpoint,Ardennes Forest,Enigma6,Decemate,,205,25,29,-4,0.86,20.9,24.2,13,4,0,0,0,14,100,410,24.4,30,659.0,22.0,101,0,0,3,0,0,0,0,0,0,0
